"j_lower","das_class","N","has_das","das_encouraged","das_required"
"genetics, selection, evolution",1,69,69,0,69
"genetics, selection, evolution",2,12,12,0,12
"genetics, selection, evolution",3,28,28,0,28
"genome biology",0,2547,6,0,317
"genome biology",1,77,77,0,51
"genome biology",2,22,22,0,19
"genome biology",3,615,615,0,474
"genome integrity",0,50,0,0,18
"genome medicine",0,581,1,0,181
"genome medicine",1,67,67,0,59
"genome medicine",2,24,24,0,24
"genome medicine",3,145,145,0,142
"gigascience",0,54,0,0,54
"gigascience",1,51,51,0,51
"gigascience",2,59,59,0,59
"gigascience",3,266,266,0,266
"global health research and policy",0,13,4,0,13
"global health research and policy",1,49,49,0,49
"global health research and policy",2,6,6,0,6
"global health research and policy",3,9,9,0,9
"globalization and health",0,400,50,0,119
"globalization and health",1,121,121,0,119
"globalization and health",2,25,25,0,25
"globalization and health",3,15,15,0,15
"gut pathogens",0,194,8,91,49
"gut pathogens",1,53,53,0,53
"gut pathogens",2,44,44,2,42
"gut pathogens",3,75,75,19,56
"gynecologic oncology research and practice",0,26,4,0,21
"gynecologic oncology research and practice",1,8,8,0,8
"gynecologic oncology research and practice",2,5,5,0,5
"harm reduction journal",0,394,16,0,80
"harm reduction journal",1,112,112,0,112
"harm reduction journal",2,8,8,0,8
"harm reduction journal",3,2,2,0,2
"head & face medicine",0,365,3,0,44
"head & face medicine",1,37,37,0,37
"head & face medicine",2,18,18,0,18
"head & face medicine",3,3,3,0,3
"head & neck oncology",0,133,0,0,0
"health and quality of life outcomes",0,1677,13,0,284
"health and quality of life outcomes",1,431,431,0,429
"health and quality of life outcomes",2,47,47,0,47
"health and quality of life outcomes",3,14,14,0,14
"health research policy and systems",0,480,44,0,161
"health research policy and systems",1,129,129,0,126
"health research policy and systems",2,23,23,0,23
"health research policy and systems",3,5,5,0,5
"hepatology, medicine and policy",0,12,2,0,12
"hepatology, medicine and policy",1,13,13,0,13
"hepatology, medicine and policy",2,3,3,0,3
"hereditary cancer in clinical practice",0,251,6,0,26
"hereditary cancer in clinical practice",1,17,17,0,17
"hereditary cancer in clinical practice",2,6,6,0,6
"hereditary cancer in clinical practice",3,3,3,0,3
"hereditas",0,21,5,0,21
"hereditas",1,16,16,0,16
"hereditas",2,17,17,0,17
"hereditas",3,12,12,0,12
"herpesviridae",0,19,0,0,0
"human genomics",0,205,7,0,45
"human genomics",1,41,41,0,40
"human genomics",2,24,24,0,23
"human genomics",3,11,11,0,11
"human resources for health",0,566,15,0,136
"human resources for health",1,117,117,0,116
"human resources for health",2,13,13,0,13
"human resources for health",3,6,6,0,6
"immunity & ageing",0,214,5,0,51
"immunity & ageing",1,31,31,0,31
"immunity & ageing",2,9,9,0,9
"immunity & ageing",3,1,1,0,1
"immunome research",0,58,0,0,0
"implementation science",0,1135,52,468,248
"implementation science",1,213,213,5,207
"implementation science",2,24,24,2,22
"implementation science",3,6,6,0,6
"infectious agents and cancer",0,351,6,0,90
"infectious agents and cancer",1,54,54,0,54
"infectious agents and cancer",2,25,25,0,25
"infectious agents and cancer",3,3,3,0,3
"infectious diseases of poverty",0,212,33,0,146
"infectious diseases of poverty",1,149,149,0,149
"infectious diseases of poverty",2,62,62,0,62
"infectious diseases of poverty",3,11,11,0,11
"inflammation and regeneration",0,6,5,0,6
"inflammation and regeneration",1,5,5,0,5
"inflammation and regeneration",2,4,4,0,4
"inflammation and regeneration",3,1,1,0,1
"international archives of medicine",0,237,0,0,1
"international breastfeeding journal",0,231,4,0,47
"international breastfeeding journal",1,85,85,0,85
"international breastfeeding journal",2,7,7,0,7
"international breastfeeding journal",3,4,4,0,4
"international journal for equity in health",0,864,40,0,285
"international journal for equity in health",1,306,306,0,305
"international journal for equity in health",2,20,20,0,20
"international journal for equity in health",3,60,60,0,60
"international journal of health geographics",0,643,2,0,41
"international journal of health geographics",1,88,88,0,83
"international journal of health geographics",2,12,12,0,12
"international journal of health geographics",3,8,8,0,8
"international journal of mental health systems",0,309,11,0,82
"international journal of mental health systems",1,128,128,0,127
"international journal of mental health systems",2,12,12,0,12
"international journal of mental health systems",3,2,2,0,2
"international journal of pediatric endocrinology",0,244,8,0,35
"international journal of pediatric endocrinology",1,7,7,0,7
"international journal of pediatric endocrinology",2,5,5,0,5
"international journal of pediatric endocrinology",3,2,2,0,2
"international journal of retina and vitreous",0,48,12,0,45
"international journal of retina and vitreous",1,49,49,0,49
"international journal of retina and vitreous",2,17,17,0,17
"international journal of retina and vitreous",3,2,2,0,2
"international seminars in surgical oncology",0,123,0,0,0
"investigative genetics",0,77,0,0,9
"investigative genetics",1,2,2,0,0
"irish veterinary journal",0,208,11,0,45
"irish veterinary journal",1,42,42,0,42
"irish veterinary journal",2,7,7,0,7
"irish veterinary journal",3,3,3,0,3
"israel journal of health policy research",0,308,56,0,157
"israel journal of health policy research",1,72,72,0,72
"israel journal of health policy research",2,3,3,0,3
"israel journal of health policy research",3,13,13,0,13
"italian journal of pediatrics",0,743,41,0,279
"italian journal of pediatrics",1,116,116,0,116
"italian journal of pediatrics",2,34,34,0,34
"italian journal of pediatrics",3,6,6,0,6
"journal for immunotherapy of cancer",0,364,70,0,250
"journal for immunotherapy of cancer",1,97,97,0,97
"journal for immunotherapy of cancer",2,42,42,0,42
"journal for immunotherapy of cancer",3,18,18,0,18
"journal of animal science and biotechnology",0,212,15,0,89
"journal of animal science and biotechnology",1,84,84,0,84
"journal of animal science and biotechnology",2,53,53,0,53
"journal of animal science and biotechnology",3,9,9,0,8
"journal of animal science and technology",0,118,12,0,73
"journal of animal science and technology",1,39,39,0,39
"journal of animal science and technology",2,4,4,0,4
"journal of animal science and technology",3,6,6,0,6
"journal of autoimmune diseases",0,25,0,0,0
"journal of biological engineering",0,164,4,0,25
"journal of biological engineering",1,34,34,0,34
"journal of biological engineering",2,24,24,0,24
"journal of biological engineering",3,7,7,0,7
"journal of biological research",0,52,6,0,30
"journal of biological research",1,12,12,0,12
"journal of biological research",2,9,9,0,9
"journal of biological research",3,2,2,0,2
"journal of biology",0,83,0,0,0
"journal of biology",2,1,1,0,0
"journal of biomedical discovery and collaboration",0,40,0,0,1
"journal of biomedical science",0,707,32,0,137
"journal of biomedical science",1,49,49,0,49
"journal of biomedical science",2,37,37,0,37
"journal of biomedical science",3,6,6,0,6
"journal of biomedical semantics",0,301,7,0,84
"journal of biomedical semantics",1,42,42,0,34
"journal of biomedical semantics",2,13,13,0,10
"journal of biomedical semantics",3,35,35,0,33
"journal of biosciences and medicines",0,2,0,0,2
"journal of brachial plexus and peripheral nerve injury",0,122,0,0,5
"journal of carcinogenesis",0,165,0,0,9
"journal of cardiothoracic surgery",0,1403,52,0,324
"journal of cardiothoracic surgery",1,135,135,0,135
"journal of cardiothoracic surgery",2,56,56,0,56
"journal of cardiothoracic surgery",3,8,8,0,8
"journal of cardiovascular magnetic resonance",0,1318,29,0,263
"journal of cardiovascular magnetic resonance",1,167,167,0,167
"journal of cardiovascular magnetic resonance",2,19,19,0,19
"journal of cardiovascular magnetic resonance",3,5,5,0,5
"journal of circadian rhythms",0,128,0,0,27
"journal of circadian rhythms",1,1,1,0,1
"journal of circadian rhythms",3,1,1,0,0
"journal of clinical bioinformatics",0,102,0,0,19
"journal of clinical bioinformatics",1,1,1,0,0
"journal of clinical movement disorders",0,40,6,0,23
"journal of clinical movement disorders",1,14,14,0,14
"journal of clinical movement disorders",2,4,4,0,4
"journal of clinical movement disorders",3,2,2,0,2
"journal of compassionate health care",0,1,0,0,0
"journal of eating disorders",0,119,7,0,52
"journal of eating disorders",1,75,75,0,75
"journal of eating disorders",2,5,5,0,5
"journal of eating disorders",3,3,3,0,3
"journal of ethnobiology and ethnomedicine",0,1,0,0,0
"journal of experimental & clinical assisted reproduction",0,39,0,0,0
"journal of experimental & clinical cancer research : cr",0,1224,65,0,387
"journal of experimental & clinical cancer research : cr",1,167,167,0,167
"journal of experimental & clinical cancer research : cr",2,165,165,0,165
"journal of experimental & clinical cancer research : cr",3,45,45,0,45
"journal of foot and ankle research",0,571,11,330,94
"journal of foot and ankle research",1,96,96,0,96
"journal of foot and ankle research",2,17,17,0,17
"journal of foot and ankle research",3,3,3,0,3
"journal of health, population, and nutrition",0,646,3,0,61
"journal of health, population, and nutrition",1,67,67,0,67
"journal of health, population, and nutrition",2,5,5,0,5
"journal of health, population, and nutrition",3,6,6,0,6
"journal of hematology & oncology",0,454,23,0,143
"journal of hematology & oncology",1,85,85,0,85
"journal of hematology & oncology",2,95,95,0,95
"journal of hematology & oncology",3,19,19,0,19
"journal of immune based therapies and vaccines",0,59,0,0,0
"journal of inflammation (london, england)",0,425,7,0,53
"journal of inflammation (london, england)",1,33,33,0,33
"journal of inflammation (london, england)",2,25,25,0,25
"journal of intensive care",0,131,12,0,72
"journal of intensive care",1,74,74,0,74
"journal of intensive care",2,21,21,0,19
"journal of intensive care",3,3,3,0,3
"journal of medical case reports",0,2058,326,0,879
"journal of medical case reports",1,214,214,0,214
"journal of medical case reports",2,194,194,0,194
"journal of medical case reports",3,17,17,0,16
"journal of molecular psychiatry",0,10,0,0,2
"journal of molecular psychiatry",1,4,4,0,1
"journal of molecular psychiatry",2,3,3,0,2
"journal of molecular psychiatry",3,1,1,0,1
"journal of molecular signaling",0,117,0,15,14
"journal of nanobiotechnology",0,497,20,0,162
"journal of nanobiotechnology",1,35,35,0,35
"journal of nanobiotechnology",2,100,100,0,100
"journal of nanobiotechnology",3,3,3,0,3
"journal of negative results in biomedicine",0,184,0,0,25
"journal of negative results in biomedicine",1,8,8,0,8
"journal of negative results in biomedicine",2,14,14,0,14
"journal of neurodevelopmental disorders",0,228,1,0,53
"journal of neurodevelopmental disorders",1,67,67,0,67
"journal of neurodevelopmental disorders",2,4,4,0,4
"journal of neurodevelopmental disorders",3,7,7,0,6
"journal of neuroengineering and rehabilitation",0,748,17,0,148
"journal of neuroengineering and rehabilitation",1,184,184,0,184
"journal of neuroengineering and rehabilitation",2,39,39,0,39
"journal of neuroengineering and rehabilitation",3,9,9,0,9
"journal of neuroinflammation",0,1496,51,0,336
"journal of neuroinflammation",1,405,405,0,405
"journal of neuroinflammation",2,255,255,0,255
"journal of neuroinflammation",3,28,28,0,28
"journal of occupational medicine and toxicology (london, england)",0,339,10,0,73
"journal of occupational medicine and toxicology (london, england)",1,58,58,0,58
"journal of occupational medicine and toxicology (london, england)",2,17,17,0,17
"journal of occupational medicine and toxicology (london, england)",3,1,1,0,1
"journal of orthopaedic surgery and research",0,756,39,0,308
"journal of orthopaedic surgery and research",1,282,282,0,282
"journal of orthopaedic surgery and research",2,149,149,0,149
"journal of orthopaedic surgery and research",3,17,17,0,17
"journal of otolaryngology - head & neck surgery",0,218,12,0,104
"journal of otolaryngology - head & neck surgery",1,102,102,0,102
"journal of otolaryngology - head & neck surgery",2,18,18,0,18
"journal of otolaryngology - head & neck surgery",3,5,5,0,5
"journal of ovarian research",0,425,18,0,104
"journal of ovarian research",1,93,93,0,93
"journal of ovarian research",2,86,86,0,86
"journal of ovarian research",3,8,8,0,8
"journal of pharmaceutical health care and sciences",0,59,5,0,46
"journal of pharmaceutical health care and sciences",1,34,34,0,34
"journal of pharmaceutical health care and sciences",2,29,29,0,29
"journal of pharmaceutical health care and sciences",3,2,2,0,2
"journal of pharmaceutical policy and practice",0,98,7,0,61
"journal of pharmaceutical policy and practice",1,43,43,0,43
"journal of pharmaceutical policy and practice",2,11,11,0,11
"journal of pharmaceutical policy and practice",3,3,3,0,3
"journal of physiological anthropology",0,168,7,0,66
"journal of physiological anthropology",1,40,40,0,40
"journal of physiological anthropology",2,7,7,0,7
"journal of physiological anthropology",3,1,1,0,1
"journal of the international aids society",0,1092,0,0,503
"journal of the international society of sports nutrition",0,382,1,0,51
"journal of the international society of sports nutrition",1,85,85,0,83
"journal of the international society of sports nutrition",2,19,19,0,19
"journal of therapeutic ultrasound",0,95,4,0,49
"journal of therapeutic ultrasound",1,35,35,0,35
"journal of therapeutic ultrasound",2,3,3,0,3
"journal of therapeutic ultrasound",3,3,3,0,3
"journal of translational medicine",0,2273,63,0,524
"journal of translational medicine",1,357,357,0,357
"journal of translational medicine",2,176,176,0,176
"journal of translational medicine",3,49,49,0,47
"journal of trauma management & outcomes",0,99,0,0,12
"kinetoplastid biology and disease",0,29,0,0,0
"laboratory animal research",0,282,0,0,130
"lipids in health and disease",0,1506,44,0,314
"lipids in health and disease",1,323,323,0,323
"lipids in health and disease",2,173,173,0,173
"lipids in health and disease",3,14,14,0,14
"longevity & healthspan",0,14,0,14,0
"longevity & healthspan",1,1,1,1,0
"longevity & healthspan",2,2,2,2,0
"malaria journal",0,4281,44,0,861
"malaria journal",1,647,647,0,642
"malaria journal",2,230,230,0,230
"malaria journal",3,104,104,0,103
"maternal health, neonatology and perinatology",0,19,3,0,12
"maternal health, neonatology and perinatology",1,33,33,0,33
"maternal health, neonatology and perinatology",2,2,2,0,2
"maternal health, neonatology and perinatology",3,3,3,0,3
"medical gas research",0,127,0,0,60
"medical immunology",0,10,0,0,0
"microbial cell factories",0,1198,17,0,286
"microbial cell factories",1,120,120,0,120
"microbial cell factories",2,296,296,0,296
"microbial cell factories",3,42,42,0,41
"microbial informatics and experimentation",0,21,0,0,0
"microbiome",0,130,7,0,78
"microbiome",1,28,28,0,27
"microbiome",2,38,38,0,32
"microbiome",3,383,383,0,355
"military medical research",0,72,10,0,49
"military medical research",1,28,28,0,28
"military medical research",2,22,22,0,22
"mobile dna",0,132,4,66,33
"mobile dna",1,13,13,0,13
"mobile dna",2,17,17,2,15
"mobile dna",3,28,28,2,26
"molecular and cellular therapies",0,15,0,0,4
"molecular autism",0,236,11,0,91
"molecular autism",1,99,99,0,96
"molecular autism",2,23,23,0,15
"molecular autism",3,28,28,0,22
"molecular brain",0,445,24,0,130
"molecular brain",1,59,59,0,59
"molecular brain",2,66,66,0,66
"molecular brain",3,15,15,0,15
"molecular cancer",0,1699,36,0,204
"molecular cancer",1,61,61,0,60
"molecular cancer",2,65,65,0,64
"molecular cancer",3,29,29,0,29
"molecular cytogenetics",0,477,26,0,149
"molecular cytogenetics",1,57,57,0,57
"molecular cytogenetics",2,42,42,0,42
"molecular cytogenetics",3,6,6,0,6
"molecular medicine",0,10,4,0,10
"molecular medicine",1,23,23,0,23
"molecular medicine",2,15,15,0,15
"molecular medicine",3,4,4,0,4
"molecular neurodegeneration",0,530,6,0,111
"molecular neurodegeneration",1,59,59,0,59
"molecular neurodegeneration",2,64,64,0,64
"molecular neurodegeneration",3,16,16,0,14
"molecular pain",0,1013,0,0,327
"movement ecology",0,54,2,0,34
"movement ecology",1,41,41,0,34
"movement ecology",2,20,20,0,18
"movement ecology",3,17,17,0,15
"multidisciplinary respiratory medicine",0,241,6,0,57
"multidisciplinary respiratory medicine",1,42,42,0,41
"multidisciplinary respiratory medicine",2,15,15,0,6
"multidisciplinary respiratory medicine",3,2,2,0,1
"neural development",0,57,0,0,0
"neural systems & circuits",0,12,0,0,0
"neuroglia (basel, switzerland)",0,1,0,0,1
"neuropsychiatric electrophysiology",0,2,0,0,2
"neurovascular imaging (london)",0,1,0,0,1
"nonlinear biomedical physics",0,52,0,0,0
"nuclear receptor",0,19,0,0,0
"nuclear receptor signaling",0,53,0,0,6
"nutrition & metabolism",0,646,14,0,109
"nutrition & metabolism",1,132,132,0,132
"nutrition & metabolism",2,26,26,0,24
"nutrition & metabolism",3,6,6,0,5
"nutrition journal",0,968,16,0,153
"nutrition journal",1,149,149,0,146
"nutrition journal",2,30,30,0,28
"nutrition journal",3,16,16,0,15
"orphanet journal of rare diseases",0,769,55,439,215
"orphanet journal of rare diseases",1,232,232,4,228
"orphanet journal of rare diseases",2,90,90,12,78
"orphanet journal of rare diseases",3,24,24,7,17
"osteopathic medicine and primary care",0,24,0,0,0
"parasites & vectors",0,2555,47,0,756
"parasites & vectors",1,425,425,0,425
"parasites & vectors",2,600,600,0,600
"parasites & vectors",3,412,412,0,411
"particle and fibre toxicology",0,397,5,0,62
"particle and fibre toxicology",1,64,64,0,64
"particle and fibre toxicology",2,46,46,0,46
"particle and fibre toxicology",3,4,4,0,4
"pathogenetics",0,10,0,0,0
"patient safety in surgery",0,240,10,0,54
"patient safety in surgery",1,40,40,0,40
"patient safety in surgery",2,12,12,0,12
"patient safety in surgery",3,2,2,0,2
"perioperative medicine",0,75,7,0,44
"perioperative medicine",1,34,34,0,34
"perioperative medicine",2,5,5,0,5
"perioperative medicine",3,2,2,0,2
"philosophy, ethics, and humanities in medicine",0,148,9,0,24
"philosophy, ethics, and humanities in medicine",1,3,3,0,3
"philosophy, ethics, and humanities in medicine",2,1,1,0,1
"pilot and feasibility studies",0,184,60,0,171
"pilot and feasibility studies",1,173,173,0,172
"pilot and feasibility studies",2,11,11,0,11
"pilot and feasibility studies",3,1,1,0,1
"plant methods",0,414,7,0,92
"plant methods",1,92,92,0,92
"plant methods",2,81,81,0,80
"plant methods",3,39,39,0,38
"pmc biophysics",0,30,0,0,0
"pneumonia",0,1,0,0,1
"population health metrics",0,308,3,0,63
"population health metrics",1,48,48,0,46
"population health metrics",2,8,8,0,8
"population health metrics",3,10,10,0,10
"porcine health management",0,32,5,0,30
"porcine health management",1,50,50,0,50
"porcine health management",2,6,6,0,6
"porcine health management",3,2,2,0,2
"proteome science",0,569,3,0,32
"proteome science",1,16,16,0,16
"proteome science",2,17,17,0,17
"proteome science",3,9,9,0,9
"public health reviews",0,25,16,0,25
"public health reviews",1,8,8,0,8
"public health reviews",3,5,5,0,5
"radiation oncology (london, england)",0,1689,47,0,319
"radiation oncology (london, england)",1,334,334,0,334
"radiation oncology (london, england)",2,76,76,0,76
"radiation oncology (london, england)",3,11,11,0,11
"regenerative medicine research",0,7,0,0,3
"regenerative medicine research",1,1,1,0,1
"reproductive biology and endocrinology",0,1293,25,0,162
"reproductive biology and endocrinology",1,134,134,0,134
"reproductive biology and endocrinology",2,45,45,0,45
"reproductive biology and endocrinology",3,8,8,0,8
"reproductive health",0,603,40,0,264
"reproductive health",1,264,264,0,263
"reproductive health",2,21,21,0,21
"reproductive health",3,25,25,0,25
"research integrity and peer review",0,7,3,0,7
"research integrity and peer review",1,9,9,0,9
"research integrity and peer review",2,6,6,0,6
"research integrity and peer review",3,3,3,0,3
"research involvement and engagement",0,68,27,0,68
"research involvement and engagement",1,28,28,0,28
"research involvement and engagement",2,7,7,0,7
"research involvement and engagement",3,4,4,0,4
"respiratory research",0,1698,31,0,224
"respiratory research",1,309,309,0,309
"respiratory research",2,65,65,0,65
"respiratory research",3,29,29,0,29
"retrovirology",0,1366,5,0,588
"retrovirology",1,24,24,0,24
"retrovirology",2,22,22,0,22
"retrovirology",3,34,34,0,33
"scandinavian journal of trauma, resuscitation and emergency medicine",0,691,21,0,206
"scandinavian journal of trauma, resuscitation and emergency medicine",1,187,187,0,187
"scandinavian journal of trauma, resuscitation and emergency medicine",2,27,27,0,27
"scandinavian journal of trauma, resuscitation and emergency medicine",3,3,3,0,3
"scoliosis and spinal disorders",0,32,3,0,32
"scoliosis and spinal disorders",1,44,44,0,44
"scoliosis and spinal disorders",2,11,11,0,11
"scoliosis and spinal disorders",3,3,3,0,3
"sexually transmitted diseases",0,20,0,0,18
"silence",0,24,0,0,9
"skeletal muscle",0,175,11,0,72
"skeletal muscle",1,37,37,0,37
"skeletal muscle",2,14,14,0,14
"skeletal muscle",3,7,7,0,7
"source code for biology and medicine",0,106,2,0,25
"source code for biology and medicine",1,2,2,0,2
"source code for biology and medicine",2,2,2,0,2
"source code for biology and medicine",3,5,5,0,5
"stem cell research & therapy",0,778,76,0,364
"stem cell research & therapy",1,248,248,0,248
"stem cell research & therapy",2,255,255,0,255
"stem cell research & therapy",3,34,34,0,34
"substance abuse treatment, prevention, and policy",0,376,4,0,64
"substance abuse treatment, prevention, and policy",1,86,86,0,86
"substance abuse treatment, prevention, and policy",2,12,12,0,12
"substance abuse treatment, prevention, and policy",3,1,1,0,1
"systematic reviews",0,478,132,0,307
"systematic reviews",1,56,56,0,55
"systematic reviews",2,39,39,0,39
"systematic reviews",3,6,6,0,6
"the international journal of behavioral nutrition and physical activity",0,1137,20,0,189
"the international journal of behavioral nutrition and physical activity",1,255,255,0,253
"the international journal of behavioral nutrition and physical activity",2,17,17,0,17
"the international journal of behavioral nutrition and physical activity",3,12,12,0,12
"the journal of venomous animals and toxins including tropical diseases",0,182,6,0,105
"the journal of venomous animals and toxins including tropical diseases",1,11,11,0,11
"the journal of venomous animals and toxins including tropical diseases",2,11,11,0,11
"the journal of venomous animals and toxins including tropical diseases",3,3,3,0,3
"the world allergy organization journal",0,269,15,0,53
"the world allergy organization journal",1,29,29,0,29
"the world allergy organization journal",2,12,12,0,12
"the world allergy organization journal",3,2,2,0,2
"theoretical biology & medical modelling",0,488,5,58,43
"theoretical biology & medical modelling",1,27,27,0,26
"theoretical biology & medical modelling",2,7,7,0,7
"theoretical biology & medical modelling",3,8,8,0,6
"thrombosis journal",0,235,6,0,43
"thrombosis journal",1,40,40,0,40
"thrombosis journal",2,6,6,0,6
"thrombosis journal",3,4,4,0,4
"thyroid research",0,140,8,0,42
"thyroid research",1,7,7,0,7
"thyroid research",2,3,3,0,3
"translational neurodegeneration",0,50,4,34,15
"translational neurodegeneration",1,19,19,0,19
"translational neurodegeneration",2,15,15,0,15
"translational neurodegeneration",3,2,2,0,2
"trials",0,3641,501,0,1557
"trials",1,682,682,0,674
"trials",2,51,51,0,51
"trials",3,27,27,0,27
"tropical diseases, travel medicine and vaccines",0,20,5,0,20
"tropical diseases, travel medicine and vaccines",1,21,21,0,21
"tropical diseases, travel medicine and vaccines",2,6,6,0,6
"tropical diseases, travel medicine and vaccines",3,2,2,0,2
"tropical medicine and health",0,153,7,0,41
"tropical medicine and health",1,51,51,0,51
"tropical medicine and health",2,20,20,0,20
"tropical medicine and health",3,13,13,0,13
"vascular cell",0,73,0,33,7
"vascular cell",2,1,1,1,0
"veterinary research",0,909,0,0,346
"veterinary research",1,12,12,0,12
"veterinary research",2,5,5,0,5
"veterinary research",3,11,11,0,11
"virology journal",0,2917,59,0,385
"virology journal",1,139,139,0,139
"virology journal",2,161,161,0,155
"virology journal",3,80,80,0,78
"women's midlife health",0,6,0,0,6
"world journal of emergency surgery",0,337,8,0,69
"world journal of emergency surgery",1,61,61,0,61
"world journal of emergency surgery",2,11,11,0,11
"world journal of surgical oncology",0,2407,71,0,449
"world journal of surgical oncology",1,278,278,0,278
"world journal of surgical oncology",2,147,147,0,147
"world journal of surgical oncology",3,20,20,0,20
"zoological letters",0,35,1,0,28
"zoological letters",1,17,17,0,17
"zoological letters",2,24,24,0,23
"zoological letters",3,24,24,0,22
